pc1,pc2,cluster,emoji,label
-0.1382140986691254,-0.02534912551603343,28,🏯,"🏞️🏗️🏡🏙️🏛️🏟️🏖️🏰🏯🏠🏩🏚️🏝️🏜️🏦🏥🏨🏪🏬🏛️🏢🏫🏭🏟️🏎️🏍️🏏🏀🏈🏉🏓🏸🏒🏑🏊🏌️‍♀️🏌️‍♂️🏋️‍♀️🏋️‍♂️🏃‍♀️🏃‍♂️🏄‍♀️🏄‍♂️🎪🏳️‍🌈🏳️‍⚧️🎉🏆🏅

**Group Name: Diverse Locations and Activities**"
-0.24121431898842527,0.04576916674882957,73,㊗️,Symbols and Icons Collection
-0.2525542783896962,0.05229775418560957,73,㊗,Symbols and Icons Collection
-0.25922626172708885,-0.08317583975189344,5,🈹,Character & Symbol Collection
-0.2157781691001916,-0.10303673350312664,72,🎎,Celebration and Entertainment Emojis
-0.29804204491988295,-0.06934201312936679,5,🈚,Character & Symbol Collection
-0.32131421373359337,-0.02167277852764023,5,🈁,Character & Symbol Collection
-0.21786557199708753,-0.028618880942526154,5,🈷️,Character & Symbol Collection
-0.23736092659861527,-0.012645400238236463,5,🈷,Character & Symbol Collection
-0.2553671175895711,-0.09378824877190603,5,🈵,Character & Symbol Collection
-0.21592967502378763,-0.09742881360104842,5,🈶,Character & Symbol Collection
-0.2502171018713214,-0.07585341109779763,5,🈺,Character & Symbol Collection
-0.21249512513186444,-0.11661251605115243,5,🈴,Character & Symbol Collection
-0.2125785391906133,0.018115124024006245,28,🏣,"🏞️🏗️🏡🏙️🏛️🏟️🏖️🏰🏯🏠🏩🏚️🏝️🏜️🏦🏥🏨🏪🏬🏛️🏢🏫🏭🏟️🏎️🏍️🏏🏀🏈🏉🏓🏸🏒🏑🏊🏌️‍♀️🏌️‍♂️🏋️‍♀️🏋️‍♂️🏃‍♀️🏃‍♂️🏄‍♀️🏄‍♂️🎪🏳️‍🌈🏳️‍⚧️🎉🏆🏅

**Group Name: Diverse Locations and Activities**"
-0.2729146585568853,-0.11060736980961951,5,🈲,Character & Symbol Collection
-0.20596903068378408,-0.11546417564457255,5,🈯,Character & Symbol Collection
-0.23452793432089253,0.03844354153938038,73,㊙️,Symbols and Icons Collection
-0.2629451364308866,0.02855038994065944,73,㊙,Symbols and Icons Collection
-0.22357897457944656,-0.13048603479311288,5,🈂️,Character & Symbol Collection
-0.25051677393397326,-0.12959257283354214,5,🈂,Character & Symbol Collection
-0.34282262884030434,-0.14274663332126297,10,🔰,"""Navigation and Control Icons"""
-0.24338156582247594,-0.06874597524746744,5,🈳,Character & Symbol Collection
-0.2729819323156131,-0.24782861086980923,54,🇯🇪,Worldwide Flags Collection
-0.2619902575911164,-0.21404495965668732,54,🇯🇴,Worldwide Flags Collection
-0.24219790723107434,-0.24769583602899206,54,🇰🇿,Worldwide Flags Collection
-0.2715985776380792,-0.23517611808828506,54,🇰🇪,Worldwide Flags Collection
-0.2886724519651053,-0.23177253460300953,54,🇰🇮,Worldwide Flags Collection
-0.2510494462865715,-0.2362130031593024,54,🇽🇰,Worldwide Flags Collection
-0.26236285801396064,-0.1942600869553467,54,🇰🇼,Worldwide Flags Collection
-0.25477508338685767,-0.2082367190294203,54,🇰🇬,Worldwide Flags Collection
-0.1848597271061,-0.25612645769537046,4,🇱🇦,Countries Starting with A or B
-0.24156960402590621,-0.24094574091703688,54,🇱🇻,Worldwide Flags Collection
-0.2322547830259075,-0.20729496801360178,54,🇱🇧,Worldwide Flags Collection
-0.20016647236796428,-0.03571424818282712,14,♌,Astrological and Symbolic Collection
-0.23041883107484787,-0.2529957919767297,80,🇱🇸,Flags of Various Countries
-0.23686661503076456,-0.22869984974553587,54,🇱🇷,Worldwide Flags Collection
-0.21628830591615664,0.04151117945568329,14,♎,Astrological and Symbolic Collection
-0.21211299384525084,-0.1993029134249269,54,🇱🇾,Worldwide Flags Collection
-0.22379872203619428,-0.17511190553962777,54,🇱🇮,Worldwide Flags Collection
-0.19959336884085824,-0.258317271566664,54,🇱🇹,Worldwide Flags Collection
-0.2105789483607416,-0.20662823592930946,54,🇱🇺,Worldwide Flags Collection
-0.25530431453864444,-0.2331078612609194,80,🇲🇴,Flags of Various Countries
-0.2553858135485387,-0.18214166985439256,20,🇲🇬,Countries Starting with G and N
-0.27635318811808474,-0.22873609086445243,80,🇲🇼,Flags of Various Countries
-0.24559136030345735,-0.2300561902845973,80,🇲🇾,Flags of Various Countries
-0.2792267434220459,-0.24938953927120633,80,🇲🇻,Flags of Various Countries
-0.23144606300031428,-0.2459069205877005,80,🇲🇱,Flags of Various Countries
-0.2494729893993211,-0.27313922845011734,80,🇲🇹,Flags of Various Countries
-0.29305185640074116,-0.2129431156147897,80,🇲🇭,Flags of Various Countries
-0.24662054031810196,-0.2215407752707258,80,🇲🇶,Flags of Various Countries
-0.2638071346521712,-0.2598087585349576,80,🇲🇷,Flags of Various Countries
-0.25608365850971015,-0.22189804386194953,80,🇲🇺,Flags of Various Countries
-0.21814664871220965,-0.2305345897793632,54,🇾🇹,Worldwide Flags Collection
-0.28734823936381004,-0.25103466761103826,80,🇲🇽,Flags of Various Countries
-0.28169056522010294,-0.22084493679828654,42,🇫🇲,Country Flags Collection
-0.2548865893277805,-0.27087824824291284,80,🇲🇩,Flags of Various Countries
-0.2226388732434296,-0.29966615674816505,80,🇲🇨,Flags of Various Countries
-0.2556218779610118,-0.20197061390136628,20,🇲🇳,Countries Starting with G and N
-0.2649593530237025,-0.24405260009738974,80,🇲🇪,Flags of Various Countries
-0.2768039493938721,-0.27857494498433466,80,🇲🇸,Flags of Various Countries
-0.23317299238683026,-0.2556373589951055,4,🇲🇦,Countries Starting with A or B
-0.25515833075658867,-0.22727284724053506,80,🇲🇿,Flags of Various Countries
-0.20263096072813883,-0.06320660478187791,76,🤶,Diverse Human Expressions & Gestures
-0.09291705499653216,-0.026085152615021673,76,🤶🏿,Diverse Human Expressions & Gestures
-0.14434316480791,-0.005967704041549304,76,🤶🏻,Diverse Human Expressions & Gestures
-0.06333539607771038,-0.042797924466504135,76,🤶🏾,Diverse Human Expressions & Gestures
-0.14346495504473175,-0.021658718887512682,76,🤶🏼,Diverse Human Expressions & Gestures
-0.09882635530027771,0.001353050893926497,76,🤶🏽,Diverse Human Expressions & Gestures
0.02506445868266124,0.17565566883674086,84,🧑‍🎄,Diverse Professions and Roles
0.12332668973339524,0.16393268462067098,1,🧑🏿‍🎄,Diverse Careers and Roles
0.12267106468540154,0.20125971493383932,84,🧑🏻‍🎄,Diverse Professions and Roles
0.1396111554795681,0.17776181952573641,84,🧑🏾‍🎄,Diverse Professions and Roles
0.14093112229199117,0.19917456572399808,84,🧑🏼‍🎄,Diverse Professions and Roles
0.11655290656551731,0.2073868141331342,84,🧑🏽‍🎄,Diverse Professions and Roles
-0.28098475067989537,-0.2387140643551324,80,🇲🇲,Flags of Various Countries
-0.31909680404700996,-0.09374594262008576,2,🆕,Symbolic Expressions and Icons
-0.26779736146424366,-0.040895114195113075,2,🆖,Symbolic Expressions and Icons
-0.19996745529748683,-0.22723462298546485,20,🇳🇦,Countries Starting with G and N
-0.251243179016866,-0.2133932284954775,20,🇳🇷,Countries Starting with G and N
-0.23495779314732912,-0.21430671440875906,20,🇳🇵,Countries Starting with G and N
-0.2171008541530992,-0.2027937337128024,20,🇳🇱,Countries Starting with G and N
-0.19677552154554528,-0.25834201831999937,20,🇳🇨,Countries Starting with G and N
-0.21726831888350137,-0.21086611017904994,20,🇳🇿,Countries Starting with G and N
-0.2414449362726995,-0.18225237640887382,20,🇳🇮,Countries Starting with G and N
-0.22138150952006552,-0.18647738995881172,20,🇳🇪,Countries Starting with G and N
-0.22132376097195786,-0.1791546668848416,20,🇳🇬,Countries Starting with G and N
-0.21083523456984857,-0.1898867367653549,20,🇳🇺,Countries Starting with G and N
-0.2400600038850554,-0.19611611852575142,20,🇳🇫,Countries Starting with G and N
-0.2615983237713309,-0.23932747856268533,54,🇰🇵,Worldwide Flags Collection
-0.27274397668532757,-0.2194732234008398,80,🇲🇰,Flags of Various Countries
-0.26483500409423094,-0.24722168087758262,80,🇲🇵,Flags of Various Countries
-0.2341546499339661,-0.21290928593755726,20,🇳🇴,Countries Starting with G and N
-0.2693816646180837,-0.06690893441739908,2,🆗,Symbolic Expressions and Icons
-0.20166675746395085,-0.1592357346375532,70,👌,Hand Gestures and Variants
-0.03707785893646619,-0.13753454883354982,70,👌🏿,Hand Gestures and Variants
-0.12547075948245062,-0.12749781575976238,70,👌🏻,Hand Gestures and Variants
-0.02275304468407739,-0.15462014186016731,70,👌🏾,Hand Gestures and Variants
-0.09963752571972513,-0.1279024889899414,70,👌🏼,Hand Gestures and Variants
-0.0721775163449528,-0.11737941888011778,70,👌🏽,Hand Gestures and Variants
-0.3161154980543833,-0.07083894962160836,10,🔛,"""Navigation and Control Icons"""
-0.2107381829386408,-0.02853956716748763,5,🅾️,Character & Symbol Collection
-0.24480456619212762,-0.031732645572566415,5,🅾,Character & Symbol Collection
-0.2641982660028928,-0.22824062322033756,80,🇴🇲,Flags of Various Countries
-0.29748676804412183,0.04421927449877498,67,⛎,Sports and Outdoor Activities
-0.2567655915926598,-0.08029773589505665,5,🅿️,Character & Symbol Collection
-0.26508948883559935,-0.0809487945819275,5,🅿,Character & Symbol Collection
-0.23526444467601276,-0.19178337863086012,54,🇵🇰,Worldwide Flags Collection
-0.24629071254943521,-0.1806799405835309,54,🇵🇼,Worldwide Flags Collection
-0.2515159500429538,-0.23606875396044152,80,🇵🇸,Flags of Various Countries
-0.21976063773889135,-0.26410421417477953,4,🇵🇦,Countries Starting with A or B
-0.22253761371069444,-0.200920573919257,20,🇵🇬,Countries Starting with G and N
-0.2382608204658874,-0.20411266921404136,54,🇵🇾,Worldwide Flags Collection
-0.26815423719790965,-0.24167901524338592,54,🇵🇪,Worldwide Flags Collection
-0.24513347991123485,-0.20144349732688027,54,🇵🇭,Worldwide Flags Collection
-0.23699089998580783,-0.021239331038512478,14,♓,Astrological and Symbolic Collection
-0.23730568058167817,-0.19150029787228046,54,🇵🇳,Worldwide Flags Collection
-0.23006435802659173,-0.23563529972257372,54,🇵🇱,Worldwide Flags Collection
-0.21824095172671204,-0.19057868528901672,54,🇵🇹,Worldwide Flags Collection
-0.25098955331916034,-0.2186101484545996,54,🇵🇷,Worldwide Flags Collection
-0.22327281328658588,-0.24495761841448163,4,🇶🇦,Countries Starting with A or B
-0.2571679856168276,-0.18032745578257542,54,🇷🇴,Worldwide Flags Collection
-0.2483064508789612,-0.1529507933089148,54,🇷🇺,Worldwide Flags Collection
-0.2783409442027572,-0.14927090871448662,54,🇷🇼,Worldwide Flags Collection
-0.26982750647995923,-0.1783941350724663,54,🇷🇪,Worldwide Flags Collection
-0.3621547752467672,-0.1419671646789968,10,🔜,"""Navigation and Control Icons"""
-0.28401933383965966,-0.03532863033944607,2,🆘,Symbolic Expressions and Icons
-0.21459889858391376,-0.027004809139811004,14,♐,Astrological and Symbolic Collection
-0.2705510494686303,-0.21840639552622146,80,🇼🇸,Flags of Various Countries
-0.26326505662368865,-0.2558199174031975,80,🇸🇲,Flags of Various Countries
-0.19763696594661873,-0.10561197824749026,72,🎅,Celebration and Entertainment Emojis
-0.06590996423783295,-0.0737876405357546,76,🎅🏿,Diverse Human Expressions & Gestures
-0.1179050511529207,-0.05697612109508489,76,🎅🏻,Diverse Human Expressions & Gestures
-0.06586095919372718,-0.08584367048099766,76,🎅🏾,Diverse Human Expressions & Gestures
-0.11770106088571224,-0.06078552565892086,76,🎅🏼,Diverse Human Expressions & Gestures
-0.0822709836997373,-0.04654587649936474,76,🎅🏽,Diverse Human Expressions & Gestures
-0.17083915246971199,-0.266069090941736,52,🇨🇶,Countries Starting with 'V' or 'C'
-0.23067856922478772,-0.2508115574505618,4,🇸🇦,Countries Starting with A or B
-0.21184335415674083,0.03247205361038548,14,♏,Astrological and Symbolic Collection
-0.20374650960010648,-0.06334140308076086,28,🏴󠁧󠁢󠁳󠁣󠁴󠁿,"🏞️🏗️🏡🏙️🏛️🏟️🏖️🏰🏯🏠🏩🏚️🏝️🏜️🏦🏥🏨🏪🏬🏛️🏢🏫🏭🏟️🏎️🏍️🏏🏀🏈🏉🏓🏸🏒🏑🏊🏌️‍♀️🏌️‍♂️🏋️‍♀️🏋️‍♂️🏃‍♀️🏃‍♂️🏄‍♀️🏄‍♂️🎪🏳️‍🌈🏳️‍⚧️🎉🏆🏅

**Group Name: Diverse Locations and Activities**"
-0.24438002252014968,-0.24764472278560296,80,🇸🇳,Flags of Various Countries
-0.26697875026531886,-0.18793453007931443,80,🇷🇸,Flags of Various Countries
-0.22073074469479326,-0.28055319880719154,80,🇸🇨,Flags of Various Countries
-0.24435487326623018,-0.24613418907156548,80,🇸🇱,Flags of Various Countries
-0.2614759516630053,-0.2321048526474775,80,🇸🇬,Flags of Various Countries
-0.2700843196445535,-0.25086209387311714,80,🇸🇽,Flags of Various Countries
-0.2606808620550458,-0.22971159799052948,80,🇸🇰,Flags of Various Countries
-0.25371317476318445,-0.23137051167860812,80,🇸🇮,Flags of Various Countries
-0.25138335357069813,-0.1953651015475428,80,🇸🇧,Flags of Various Countries
-0.2560670445997307,-0.23660044930678759,80,🇸🇴,Flags of Various Countries
-0.1849133527849679,-0.24388477339905687,4,🇿🇦,Countries Starting with A or B
-0.2454268520866583,-0.2266885902996431,80,🇬🇸,Flags of Various Countries
-0.2733872194967201,-0.25234765746644505,54,🇰🇷,Worldwide Flags Collection
-0.2637433690822142,-0.25126095556657246,80,🇸🇸,Flags of Various Countries
-0.26999834914092075,-0.2803803845506245,80,🇪🇸,Flags of Various Countries
-0.21783901213802082,-0.20074008195490514,54,🇱🇰,Worldwide Flags Collection
-0.2267449741144577,-0.21373369914358073,42,🇧🇱,Country Flags Collection
-0.26457494075989296,-0.20984088460089942,80,🇸🇭,Flags of Various Countries
-0.23092557071629746,-0.21132132600534473,20,🇰🇳,Countries Starting with G and N
-0.16281017114313132,-0.2827040528419312,54,🇱🇨,Worldwide Flags Collection
-0.27266051317698686,-0.24143533959014782,80,🇲🇫,Flags of Various Countries
-0.2576302357967725,-0.22770657330364655,54,🇵🇲,Worldwide Flags Collection
-0.22559999831141964,-0.32229102333867443,52,🇻🇨,Countries Starting with 'V' or 'C'
-0.21938478128110148,-0.03548944145403847,2,🗽,Symbolic Expressions and Icons
-0.2267359426332399,-0.29601392635110924,80,🇸🇩,Flags of Various Countries
-0.24513313914119142,-0.22920845729595535,80,🇸🇷,Flags of Various Countries
-0.2348447573231524,-0.23016328200417238,80,🇸🇯,Flags of Various Countries
-0.26115483784908927,-0.24299556202876066,80,🇸🇪,Flags of Various Countries
-0.21832754588441716,-0.23693088219915334,52,🇨🇭,Countries Starting with 'V' or 'C'
-0.23834550840814653,-0.2429538590193692,80,🇸🇾,Flags of Various Countries
-0.2379783467555606,-0.23235517904772002,80,🇸🇹,Flags of Various Countries
-0.2554037738583917,-0.08999649685535539,6,🦖,Animal Kingdom Variety
-0.3114994848656519,-0.11000246944372356,10,🔝,"""Navigation and Control Icons"""
-0.24229452245327712,-0.18758501731284144,54,🇹🇼,Worldwide Flags Collection
-0.23192137950539093,-0.23076530573494233,54,🇹🇯,Worldwide Flags Collection
-0.24172395283000517,-0.23167630595438082,54,🇹🇿,Worldwide Flags Collection
